id,status,age,sex,region,area,house_income,ind_income
5831,Retained,51,0,3,1,2300,800
5826,Retained,72,1,3,1,1620,835
5830,Retained,58,0,3,1,2000,0
5833,Retained,73,0,3,1,2851,890
5836,Retained,88,0,3,1,1576,788
5840,Retained,81,0,3,1,1188,1188
5828,Retained,75,0,3,1,788,0
5827,Retained,70,1,3,1,17600,10300
5832,Retained,77,0,3,1,650,650
5839,Retained,59,1,3,1,4580,1500
5834,Retained,54,0,3,1,42,0
5838,Retained,59,0,3,1,2269,788
5829,Retained,52,1,3,1,2380,1100
4707,Retained,52,0,3,1,3700,2900
4833,Retained,51,1,3,1,1050,1050
209,Retained,52,1,1,1,1880,600
188,Retained,55,1,1,1,3000,3000
187,Retained,56,0,1,1,1380,1380
263,Retained,50,1,1,1,3860,2100
5835,Retained,85,1,3,1,4580,880
5837,Retained,50,1,3,1,880,0
5813,Retained,58,1,3,1,2008,1220
5823,Retained,59,0,3,1,1788,0
5825,Retained,72,1,3,1,7040,3300
5821,Retained,50,0,3,1,788,0
5819,Retained,70,1,3,1,3376,2576
5817,Retained,80,0,3,1,2612,782
5811,Retained,64,0,3,1,2390,790
5812,Retained,75,1,3,1,2490,1390
5822,Retained,80,0,3,1,788,788
5824,Retained,78,0,3,1,2642,835
5816,Retained,65,1,3,1,3500,3500
5815,Retained,69,0,3,1,3376,0
986,Retained,54,1,2,2,236,0
5820,Retained,71,0,3,1,2757,788
5814,Retained,52,0,3,1,2612,0
994,Retained,54,0,2,2,1910,150
5818,Retained,83,1,3,1,2642,788
5773,Retained,60,0,3,1,2588,1708
5760,Retained,57,0,3,1,0,0
5768,Retained,76,0,3,1,4563,880
5769,Retained,78,0,3,1,80,80
5767,Retained,68,0,3,1,3041,980
5763,Retained,65,0,3,1,854,460
5766,Retained,53,0,3,1,4061,0
5771,Retained,65,0,3,1,4565,1300
5770,Retained,71,0,3,1,3034,880
5761,Retained,53,1,3,1,1760,880
5762,Retained,71,0,3,1,3764,784
5759,Retained,50,0,3,1,2285,300
7093,Retained,54,1,3,1,1000,0
7098,Retained,57,1,3,1,1500,500
5772,Retained,63,0,3,1,4060,1860
5764,Retained,80,0,3,1,1576,788
623,Retained,53,0,1,1,1800,1800
5263,Retained,50,0,3,1,1000,0
5765,Retained,65,0,3,1,3034,880
275,Retained,56,0,1,2,3030,880
115,Retained,55,1,1,2,2160,600
5747,Retained,56,1,3,1,2194,1800
5752,Retained,55,0,3,1,5120,780
5751,Retained,51,1,3,1,2785,940
5754,Retained,54,0,3,1,2600,2600
5755,Retained,61,0,3,1,4903,780
5744,Retained,55,0,3,1,450,450
5757,Retained,56,0,3,1,2757,0
5756,Retained,60,0,3,1,8780,780
5753,Retained,75,1,3,1,780,780
5750,Retained,70,1,3,1,2168,1168
5748,Retained,64,0,3,1,3288,788
5745,Retained,57,0,3,1,1580,0
6879,Retained,74,0,3,1,2900,2900
6872,Retained,73,1,3,1,1840,1000
5758,Retained,61,0,3,1,5120,780
5743,Retained,51,0,3,1,2194,394
5746,Retained,56,0,3,1,2785,1058
5749,Retained,50,1,3,1,2785,787
5742,Retained,65,1,3,1,3288,2500
5722,Retained,69,1,3,1,3268,788
5725,Retained,51,0,3,1,4300,1500
5717,Retained,59,1,3,1,3600,2800
5713,Retained,58,0,3,1,0,0
5718,Retained,51,0,3,1,3800,1300
5716,Retained,67,0,3,1,788,0
5719,Retained,56,0,3,1,3302,788
5714,Retained,56,0,3,1,700,700
5721,Retained,64,0,3,1,3859,1571
5726,Retained,53,0,3,1,300,300
5720,Retained,54,0,3,1,1354,960
5715,Retained,59,0,3,1,5600,0
5724,Retained,62,0,3,1,1560,780
5727,Retained,66,0,3,1,1477,700
5723,Retained,63,1,3,1,5600,3100
5688,Retained,70,1,3,1,8697,2788
5689,Retained,67,0,3,1,3850,3850
5694,Retained,76,0,3,1,2288,788
